genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ304146,LMY_2021_00220,Tetramesa sp. 4,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
OQ304147,LMY_2021_00197,Tetramesa sp. 4,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
OQ304148,GFS_PHI_1007,Tetramesa sp. 26,South Africa: Phinda,Eragrostis rigidior,,f,27.891 S 32.21 E,
OQ304149,GFS_PHI_1027_1,Tetramesa sp. 1,South Africa: Phinda,Sporobolus pyramidalis,2021,,27.891 S 32.21 E,
OQ304150,GFS_PHI_1027_2,Tetramesa sp. 1,South Africa: Phinda,Sporobolus pyramidalis,2021,,27.891 S 32.21 E,
OQ304151,GFS_PHI_1078F,Eurytomidae,South Africa: Phinda,Eragrostis rigidior,,f,27.891 S 32.21 E,
OQ304152,GFS_PHI_1080F,Tetramesa sp. 26,South Africa: Phinda,Eragrostis rigidior,,f,27.891 S 32.21 E,
OQ304153,GFS_PHI_1096M,Tetramesa sp. 2,South Africa: Phinda,Sporobolus pyramidalis,2021,m,27.891 S 32.21 E,
OQ304154,GFS_PHI_1101F,Tetramesa sp. 1,South Africa: Phinda,Sporobolus pyramidalis,2021,f,27.891 S 32.21 E,
OQ304155,GFS_PHI_1101M,Tetramesa sp. 1,South Africa: Phinda,Sporobolus pyramidalis,2021,m,27.891 S 32.21 E,
OQ304156,GFS_PHI_1132M,Tetramesa sp. 26,South Africa: Phinda,Eragrostis rigidior,,m,27.891 S 32.21 E,
